date,user_submitted_review,title,total_purchased,customer_type
2019-10-23,I learned a lot,R For Dummies,,Individual
2019-07-14,it was okay,R For Dummies,5,Individual
2019-10-01,The author's other books were better,R For Dummies,,Business
2019-02-24,NA,R vs Python: An Essay,4,Business
2019-08-17,The author's other books were better,Fundamentals of R For Beginners,2,Business
2019-05-23,Hated it,Fundamentals of R For Beginners,1,Business
2019-04-10,I learned a lot,R vs Python: An Essay,3,Business
2019-09-13,it was okay,Fundamentals of R For Beginners,3,Business
2019-09-15,A lot of material was not needed,R vs Python: An Essay,5,Business
2019-08-20,OK,Fundamentals of R For Beginners,5,Business
2019-06-21,OK,R vs Python: An Essay,,Business
2019-05-04,Would not recommend,R vs Python: An Essay,4,Business
2019-12-26,it was okay,R For Dummies,,Business
2019-07-04,OK,Fundamentals of R For Beginners,4,Business
2019-12-25,The author's other books were better,Fundamentals of R For Beginners,,Business
2019-12-31,Never read a better book,R For Dummies,1,Business
2019-01-25,Never read a better book,R For Dummies,1,Business
2019-01-09,OK,Fundamentals of R For Beginners,,Individual
2019-03-26,OK,Fundamentals of R For Beginners,7,Business
2019-12-18,I learned a lot,Fundamentals of R For Beginners,,Individual
2019-03-03,Hated it,R vs Python: An Essay,5,Individual
2019-05-22,OK,R vs Python: An Essay,3,Business
2019-11-20,Awesome!,Fundamentals of R For Beginners,,Business
2019-05-29,it was okay,Secrets Of R For Advanced Students,4,Individual
2019-05-10,Never read a better book,Fundamentals of R For Beginners,6,Business
2019-01-08,Awesome!,Top 10 Mistakes R Beginners Make,3,Business
2019-09-22,NA,Fundamentals of R For Beginners,,Business
2019-10-11,Awesome!,Fundamentals of R For Beginners,3,Individual
2019-05-15,NA,Fundamentals of R For Beginners,6,Business
2019-12-18,Awesome!,R For Dummies,5,Business
2019-08-17,NA,R For Dummies,,Business
2019-03-11,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-08-03,Hated it,R For Dummies,,Business
2019-05-06,OK,Top 10 Mistakes R Beginners Make,2,Business
2019-07-06,Never read a better book,R vs Python: An Essay,,Business
2019-07-25,Hated it,Fundamentals of R For Beginners,5,Individual
2019-03-11,OK,Fundamentals of R For Beginners,3,Business
2019-04-08,NA,Fundamentals of R For Beginners,1,Business
2019-01-31,OK,Fundamentals of R For Beginners,3,Business
2019-02-26,,Fundamentals of R For Beginners,2,Individual
2019-04-21,Awesome!,R For Dummies,3,Business
2019-04-24,NA,R For Dummies,6,Business
2019-06-18,,Fundamentals of R For Beginners,,Business
2019-05-31,Would not recommend,Fundamentals of R For Beginners,5,Business
2019-10-03,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-03-06,,Secrets Of R For Advanced Students,5,Individual
2019-03-31,it was okay,R vs Python: An Essay,,Individual
2019-10-15,Would not recommend,R vs Python: An Essay,0,Business
2019-02-09,Would not recommend,R For Dummies,8,Individual
2019-09-13,OK,R For Dummies,6,Individual
2019-01-14,I learned a lot,R vs Python: An Essay,2,Business
2019-03-06,it was okay,R For Dummies,4,Business
2019-04-03,NA,R vs Python: An Essay,1,Individual
2019-06-08,Never read a better book,Top 10 Mistakes R Beginners Make,7,Business
2019-03-10,NA,R For Dummies,6,Business
2019-07-25,The author's other books were better,R vs Python: An Essay,4,Individual
2019-07-28,it was okay,Secrets Of R For Advanced Students,7,Business
2019-06-19,,R For Dummies,1,Business
2019-12-09,Hated it,Fundamentals of R For Beginners,4,Individual
2019-12-02,Never read a better book,Fundamentals of R For Beginners,6,Individual
2019-11-24,A lot of material was not needed,R For Dummies,3,Business
2019-08-27,NA,R vs Python: An Essay,0,Individual
2019-05-24,,Top 10 Mistakes R Beginners Make,5,Business
2019-02-05,,R For Dummies,6,Business
2019-06-03,I learned a lot,Secrets Of R For Advanced Students,6,Individual
2019-11-14,The author's other books were better,Fundamentals of R For Beginners,,Business
2019-05-09,The author's other books were better,R For Dummies,3,Business
2019-12-22,OK,Fundamentals of R For Beginners,5,Individual
2019-06-03,it was okay,Fundamentals of R For Beginners,5,Business
2019-09-25,The author's other books were better,R For Dummies,4,Business
2019-04-29,NA,Fundamentals of R For Beginners,3,Individual
2019-01-14,Never read a better book,R vs Python: An Essay,4,Individual
2019-10-25,Never read a better book,R For Dummies,5,Individual
2019-04-28,NA,Fundamentals of R For Beginners,1,Business
2019-08-14,it was okay,Fundamentals of R For Beginners,2,Business
2019-05-04,NA,R vs Python: An Essay,,Business
2019-08-05,it was okay,Secrets Of R For Advanced Students,2,Business
2019-03-13,Hated it,R vs Python: An Essay,6,Business
2019-02-21,,Fundamentals of R For Beginners,,Business
2019-04-18,Never read a better book,Fundamentals of R For Beginners,5,Individual
2019-01-21,Never read a better book,R For Dummies,,Business
2019-06-24,Awesome!,Top 10 Mistakes R Beginners Make,0,Business
2019-12-22,NA,R For Dummies,3,Business
2019-05-24,,R For Dummies,,Individual
2019-09-19,Hated it,Fundamentals of R For Beginners,3,Business
2019-12-29,Hated it,Fundamentals of R For Beginners,3,Individual
2019-02-17,,R For Dummies,5,Business
2019-03-11,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-01-13,Awesome!,Fundamentals of R For Beginners,,Business
2019-04-17,A lot of material was not needed,R For Dummies,7,Business
2019-09-24,Awesome!,Fundamentals of R For Beginners,3,Business
2019-01-09,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-09-10,Hated it,Fundamentals of R For Beginners,3,Business
2019-09-21,it was okay,Fundamentals of R For Beginners,3,Individual
2019-09-15,Never read a better book,R For Dummies,5,Business
2019-03-01,,R vs Python: An Essay,4,Business
2019-08-19,it was okay,Fundamentals of R For Beginners,5,Business
2019-01-17,The author's other books were better,Fundamentals of R For Beginners,6,Business
2019-05-20,Never read a better book,Fundamentals of R For Beginners,4,Business
2019-07-15,OK,R vs Python: An Essay,7,Business
2019-11-13,Would not recommend,R For Dummies,3,Business
2019-07-08,A lot of material was not needed,R vs Python: An Essay,2,Business
2019-06-02,Never read a better book,Fundamentals of R For Beginners,5,Business
2019-04-11,Never read a better book,Secrets Of R For Advanced Students,4,Business
2019-03-24,Never read a better book,R For Dummies,4,Business
2019-01-10,Would not recommend,Fundamentals of R For Beginners,5,Business
2019-09-13,Awesome!,Top 10 Mistakes R Beginners Make,5,Business
2019-09-06,NA,Secrets Of R For Advanced Students,4,Business
2019-11-12,I learned a lot,R For Dummies,,Business
2019-06-12,The author's other books were better,Top 10 Mistakes R Beginners Make,,Business
2019-04-07,Never read a better book,R For Dummies,3,Business
2019-12-26,it was okay,Secrets Of R For Advanced Students,2,Business
2019-03-16,The author's other books were better,Secrets Of R For Advanced Students,2,Business
2019-08-26,NA,R For Dummies,2,Business
2019-07-15,,Fundamentals of R For Beginners,4,Business
2019-04-23,NA,R vs Python: An Essay,5,Business
2019-09-03,Never read a better book,Secrets Of R For Advanced Students,,Business
2019-03-19,The author's other books were better,R For Dummies,2,Individual
2019-09-30,Never read a better book,R For Dummies,5,Individual
2019-05-07,A lot of material was not needed,R For Dummies,4,Business
2019-10-30,,R For Dummies,8,Individual
2019-10-04,Hated it,R vs Python: An Essay,3,Business
2019-03-29,NA,Fundamentals of R For Beginners,3,Business
2019-08-17,Would not recommend,Secrets Of R For Advanced Students,,Business
2019-12-03,The author's other books were better,R vs Python: An Essay,5,Individual
2019-10-26,Would not recommend,R For Dummies,7,Individual
2019-07-12,NA,Fundamentals of R For Beginners,4,Business
2019-06-13,NA,Fundamentals of R For Beginners,7,Individual
2019-06-22,Would not recommend,R vs Python: An Essay,4,Individual
2019-02-22,The author's other books were better,Fundamentals of R For Beginners,6,Business
2019-03-29,,Fundamentals of R For Beginners,2,Business
2019-11-07,Never read a better book,R For Dummies,6,Individual
2019-11-29,Would not recommend,R vs Python: An Essay,,Business
2019-07-19,Awesome!,Fundamentals of R For Beginners,4,Business
2019-08-11,Awesome!,R vs Python: An Essay,6,Business
2019-06-06,NA,R vs Python: An Essay,12,Business
2019-11-09,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-06-18,NA,R For Dummies,3,Individual
2019-07-07,The author's other books were better,R vs Python: An Essay,,Business
2019-01-22,,Fundamentals of R For Beginners,,Business
2019-09-27,I learned a lot,Secrets Of R For Advanced Students,6,Business
2019-10-29,Hated it,Fundamentals of R For Beginners,5,Business
2019-12-01,I learned a lot,Fundamentals of R For Beginners,1,Business
2019-06-11,Hated it,Fundamentals of R For Beginners,4,Individual
2019-04-02,Would not recommend,Top 10 Mistakes R Beginners Make,,Business
2019-05-08,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-10-11,it was okay,R For Dummies,,Individual
2019-06-13,it was okay,R For Dummies,4,Business
2019-01-06,it was okay,Fundamentals of R For Beginners,4,Business
2019-05-08,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-11-26,Awesome!,Fundamentals of R For Beginners,2,Business
2019-09-27,,R For Dummies,4,Business
2019-03-05,NA,R Made Easy,2,Business
2019-07-16,Would not recommend,Fundamentals of R For Beginners,1,Business
2019-05-03,NA,R For Dummies,6,Business
2019-07-02,I learned a lot,R For Dummies,3,Individual
2019-12-31,Would not recommend,R For Dummies,2,Business
2019-10-25,Hated it,R For Dummies,,Business
2019-06-27,OK,Fundamentals of R For Beginners,5,Individual
2019-05-30,I learned a lot,Top 10 Mistakes R Beginners Make,4,Individual
2019-04-09,,Top 10 Mistakes R Beginners Make,3,Business
2019-06-25,Hated it,Fundamentals of R For Beginners,2,Business
2019-06-04,I learned a lot,Fundamentals of R For Beginners,2,Business
2019-09-23,,R For Dummies,,Business
2019-08-21,Would not recommend,R vs Python: An Essay,2,Business
2019-11-17,Would not recommend,R For Dummies,6,Business
2019-06-13,,Fundamentals of R For Beginners,2,Business
2019-07-06,A lot of material was not needed,R vs Python: An Essay,8,Individual
2019-12-28,Hated it,Fundamentals of R For Beginners,3,Individual
2019-01-27,A lot of material was not needed,R For Dummies,5,Individual
2019-07-13,,Fundamentals of R For Beginners,4,Business
2019-05-28,it was okay,R For Dummies,1,Business
2019-12-17,OK,R For Dummies,,Business
2019-06-10,,R For Dummies,3,Business
2019-04-17,Hated it,Secrets Of R For Advanced Students,5,Business
2019-11-15,it was okay,R vs Python: An Essay,,Business
2019-01-02,it was okay,R For Dummies,,Business
2019-05-02,,R For Dummies,,Individual
2019-05-31,A lot of material was not needed,Secrets Of R For Advanced Students,3,Individual
2019-12-08,it was okay,Fundamentals of R For Beginners,3,Business
2019-03-20,Would not recommend,R For Dummies,1,Business
2019-06-29,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-01-27,Awesome!,Fundamentals of R For Beginners,4,Business
2019-05-25,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-12-21,Never read a better book,Secrets Of R For Advanced Students,6,Business
2019-10-20,NA,R For Dummies,,Business
2019-10-19,it was okay,R For Dummies,2,Business
2019-03-15,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
2019-05-24,The author's other books were better,Secrets Of R For Advanced Students,4,Business
2019-10-13,,R vs Python: An Essay,6,Business
2019-09-08,Would not recommend,Secrets Of R For Advanced Students,1,Individual
2019-09-25,,Secrets Of R For Advanced Students,4,Individual
2019-07-23,Would not recommend,R For Dummies,4,Individual
2019-05-17,Awesome!,Fundamentals of R For Beginners,4,Business
2019-12-05,,R For Dummies,1,Individual
2019-01-12,it was okay,R vs Python: An Essay,4,Business
2019-09-14,A lot of material was not needed,R vs Python: An Essay,,Business
2019-02-13,NA,Fundamentals of R For Beginners,6,Individual
2019-03-17,Never read a better book,R For Dummies,4,Business
2019-07-14,The author's other books were better,R For Dummies,,Business
2019-12-16,OK,Secrets Of R For Advanced Students,9,Business
2019-09-30,Never read a better book,R vs Python: An Essay,,Individual
2019-11-17,it was okay,R For Dummies,6,Business
2019-09-09,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-01-20,it was okay,Fundamentals of R For Beginners,4,Business
2019-08-16,The author's other books were better,R For Dummies,5,Business
2019-02-24,OK,R vs Python: An Essay,5,Business
2019-02-18,Hated it,R For Dummies,2,Business
2019-11-01,Hated it,Fundamentals of R For Beginners,7,Individual
2019-09-04,Hated it,Secrets Of R For Advanced Students,2,Business
2019-12-07,Hated it,Fundamentals of R For Beginners,4,Business
2019-02-14,NA,Fundamentals of R For Beginners,8,Individual
2019-04-28,Awesome!,Secrets Of R For Advanced Students,4,Individual
2019-09-18,,Fundamentals of R For Beginners,,Individual
2019-04-22,Hated it,Fundamentals of R For Beginners,8,Business
2019-12-11,The author's other books were better,R For Dummies,,Business
2019-09-26,OK,R vs Python: An Essay,4,Business
2019-10-28,Never read a better book,Fundamentals of R For Beginners,5,Individual
2019-03-10,OK,R For Dummies,,Business
2019-05-09,Hated it,R For Dummies,1,Business
2019-01-06,OK,Secrets Of R For Advanced Students,5,Individual
2019-12-18,Never read a better book,Fundamentals of R For Beginners,5,Business
2019-01-26,A lot of material was not needed,R For Dummies,5,Business
2019-06-15,Never read a better book,Fundamentals of R For Beginners,7,Business
2019-03-06,NA,Secrets Of R For Advanced Students,,Business
2019-04-12,NA,R For Dummies,,Business
2019-03-01,,R vs Python: An Essay,6,Business
2019-04-27,,Fundamentals of R For Beginners,,Individual
2019-11-01,Awesome!,R vs Python: An Essay,,Business
2019-09-29,it was okay,Fundamentals of R For Beginners,,Business
2019-08-25,,R For Dummies,,Business
2019-03-11,The author's other books were better,Secrets Of R For Advanced Students,3,Individual
2019-03-14,it was okay,Fundamentals of R For Beginners,1,Business
2019-03-28,Hated it,Fundamentals of R For Beginners,2,Individual
2019-05-29,NA,Fundamentals of R For Beginners,3,Individual
2019-04-27,The author's other books were better,Fundamentals of R For Beginners,3,Individual
2019-12-21,Hated it,R vs Python: An Essay,2,Business
2019-09-01,The author's other books were better,Fundamentals of R For Beginners,4,Individual
2019-04-18,OK,Fundamentals of R For Beginners,3,Individual
2019-09-02,NA,Fundamentals of R For Beginners,1,Business
2019-04-27,Hated it,Fundamentals of R For Beginners,,Individual
2019-12-20,it was okay,R For Dummies,,Business
2019-10-06,The author's other books were better,R vs Python: An Essay,5,Individual
2019-01-28,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-01-31,Hated it,R vs Python: An Essay,4,Business
2019-10-15,Never read a better book,Fundamentals of R For Beginners,7,Individual
2019-10-31,A lot of material was not needed,R vs Python: An Essay,3,Individual
2019-06-20,NA,R For Dummies,2,Business
2019-10-02,it was okay,Fundamentals of R For Beginners,1,Business
2019-07-15,A lot of material was not needed,R For Dummies,4,Business
2019-12-25,Awesome!,R For Dummies,9,Business
2019-07-31,Hated it,Fundamentals of R For Beginners,4,Business
2019-11-10,NA,R For Dummies,3,Individual
2019-08-10,Never read a better book,R vs Python: An Essay,3,Business
2019-05-12,Hated it,R For Dummies,,Business
2019-12-05,Awesome!,R For Dummies,8,Business
2019-05-07,Never read a better book,R For Dummies,3,Business
2019-12-22,OK,R vs Python: An Essay,3,Business
2019-07-29,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-05-02,Never read a better book,Fundamentals of R For Beginners,6,Individual
2019-10-02,Hated it,R For Dummies,1,Business
2019-09-16,Never read a better book,R For Dummies,5,Individual
2019-05-18,Awesome!,R vs Python: An Essay,3,Business
2019-10-27,NA,Fundamentals of R For Beginners,3,Business
2019-12-14,OK,Secrets Of R For Advanced Students,4,Individual
2019-12-17,Hated it,R For Dummies,7,Business
2019-07-28,I learned a lot,R For Dummies,5,Individual
2019-11-10,OK,Fundamentals of R For Beginners,2,Business
2019-12-24,I learned a lot,Secrets Of R For Advanced Students,3,Individual
2019-02-03,I learned a lot,Fundamentals of R For Beginners,7,Individual
2019-12-07,Hated it,R For Dummies,9,Individual
2019-11-20,,R For Dummies,5,Individual
2019-07-04,The author's other books were better,Secrets Of R For Advanced Students,,Business
2019-11-28,,R For Dummies,5,Business
2019-05-26,A lot of material was not needed,Top 10 Mistakes R Beginners Make,4,Business
2019-05-09,Never read a better book,Secrets Of R For Advanced Students,6,Business
2019-08-08,OK,R For Dummies,8,Business
2019-08-12,NA,R vs Python: An Essay,3,Business
2019-11-24,Never read a better book,Secrets Of R For Advanced Students,,Business
2019-03-08,Awesome!,R For Dummies,,Business
2019-11-09,A lot of material was not needed,R For Dummies,3,Business
2019-12-04,OK,Secrets Of R For Advanced Students,2,Individual
2019-07-27,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-03-08,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-01-16,NA,Secrets Of R For Advanced Students,6,Business
2019-05-26,Awesome!,R For Dummies,3,Business
2019-07-20,OK,Fundamentals of R For Beginners,6,Individual
2019-09-17,A lot of material was not needed,Fundamentals of R For Beginners,6,Business
2019-07-07,OK,R vs Python: An Essay,2,Business
2019-07-11,A lot of material was not needed,Fundamentals of R For Beginners,5,Individual
2019-08-10,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-01-18,it was okay,R vs Python: An Essay,7,Business
2019-07-27,Never read a better book,R vs Python: An Essay,3,Business
2019-01-18,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-01-31,I learned a lot,Fundamentals of R For Beginners,1,Individual
2019-09-18,A lot of material was not needed,R For Dummies,3,Business
2019-11-29,The author's other books were better,R For Dummies,4,Business
2019-05-14,Would not recommend,Fundamentals of R For Beginners,2,Business
2019-08-13,A lot of material was not needed,R For Dummies,3,Business
2019-03-29,A lot of material was not needed,Fundamentals of R For Beginners,7,Business
2019-04-19,it was okay,R vs Python: An Essay,4,Individual
2019-11-27,Would not recommend,Secrets Of R For Advanced Students,3,Business
2019-11-22,Never read a better book,Secrets Of R For Advanced Students,5,Business
2019-11-26,,Fundamentals of R For Beginners,5,Individual
2019-04-03,,Fundamentals of R For Beginners,4,Business
2019-04-01,I learned a lot,Fundamentals of R For Beginners,2,Business
2019-10-17,NA,R For Dummies,7,Business
2019-05-06,Awesome!,R For Dummies,6,Business
2019-01-30,Awesome!,Secrets Of R For Advanced Students,1,Individual
2019-09-11,Would not recommend,Secrets Of R For Advanced Students,0,Business
2019-05-21,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-01-27,Hated it,Fundamentals of R For Beginners,6,Business
2019-06-22,Hated it,R For Dummies,5,Individual
2019-05-15,Would not recommend,R vs Python: An Essay,6,Business
2019-02-04,it was okay,R For Dummies,,Business
2019-09-18,,Top 10 Mistakes R Beginners Make,1,Business
2019-07-23,NA,R vs Python: An Essay,7,Individual
2019-12-16,Never read a better book,R For Dummies,4,Individual
2019-04-29,I learned a lot,R For Dummies,5,Business
2019-02-25,Never read a better book,R For Dummies,3,Individual
2019-12-21,Never read a better book,Fundamentals of R For Beginners,4,Individual
2019-08-19,Awesome!,R vs Python: An Essay,,Business
2019-12-10,it was okay,R For Dummies,2,Individual
2019-07-30,Never read a better book,R For Dummies,4,Business
2019-12-28,,R For Dummies,,Business
2019-09-04,Hated it,Fundamentals of R For Beginners,4,Business
2019-05-08,Would not recommend,R For Dummies,7,Individual
2019-07-21,Awesome!,R For Dummies,3,Business
2019-08-25,it was okay,Fundamentals of R For Beginners,3,Business
2019-10-18,I learned a lot,Secrets Of R For Advanced Students,3,Business
2019-06-26,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-12-26,I learned a lot,R For Dummies,4,Business
2019-09-01,The author's other books were better,Fundamentals of R For Beginners,1,Business
2019-05-27,A lot of material was not needed,Secrets Of R For Advanced Students,0,Business
2019-10-01,Would not recommend,Fundamentals of R For Beginners,4,Individual
2019-03-30,Hated it,R vs Python: An Essay,,Business
2019-03-19,OK,Fundamentals of R For Beginners,,Individual
2019-07-03,Never read a better book,R vs Python: An Essay,1,Individual
2019-04-17,The author's other books were better,Fundamentals of R For Beginners,6,Business
2019-07-19,Awesome!,Fundamentals of R For Beginners,1,Business
2019-10-21,Hated it,R For Dummies,5,Individual
2019-11-10,NA,Secrets Of R For Advanced Students,3,Business
2019-02-01,I learned a lot,R For Dummies,6,Business
2019-06-23,Awesome!,Fundamentals of R For Beginners,,Business
2019-03-19,it was okay,Fundamentals of R For Beginners,,Individual
2019-03-25,OK,R For Dummies,2,Business
2019-04-02,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-12-17,it was okay,Fundamentals of R For Beginners,2,Individual
2019-05-29,NA,R vs Python: An Essay,5,Business
2019-08-21,it was okay,Fundamentals of R For Beginners,4,Individual
2019-07-14,Never read a better book,Fundamentals of R For Beginners,4,Individual
2019-03-11,,Fundamentals of R For Beginners,4,Business
2019-12-10,Hated it,Top 10 Mistakes R Beginners Make,,Business
2019-08-19,Never read a better book,R For Dummies,6,Business
2019-06-13,NA,R For Dummies,4,Individual
2019-05-31,OK,Fundamentals of R For Beginners,3,Business
2019-07-28,I learned a lot,R For Dummies,5,Business
2019-09-18,The author's other books were better,R vs Python: An Essay,6,Business
2019-09-26,Awesome!,Fundamentals of R For Beginners,6,Individual
2019-05-16,Awesome!,R vs Python: An Essay,8,Business
2019-01-27,Awesome!,Fundamentals of R For Beginners,,Business
2019-08-02,it was okay,Fundamentals of R For Beginners,7,Business
2019-08-22,I learned a lot,Fundamentals of R For Beginners,5,Business
2019-10-02,A lot of material was not needed,Fundamentals of R For Beginners,7,Individual
2019-04-26,Hated it,R For Dummies,4,Business
2019-07-31,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-07-11,,Secrets Of R For Advanced Students,7,Individual
2019-10-01,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-03-13,Would not recommend,R For Dummies,1,Business
2019-12-12,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-09-22,The author's other books were better,Fundamentals of R For Beginners,,Individual
2019-10-26,OK,Secrets Of R For Advanced Students,6,Individual
2019-11-17,it was okay,R For Dummies,2,Business
2019-07-20,A lot of material was not needed,Secrets Of R For Advanced Students,3,Business
2019-12-11,I learned a lot,Fundamentals of R For Beginners,4,Individual
2019-02-08,Awesome!,Fundamentals of R For Beginners,,Individual
2019-05-12,Would not recommend,Top 10 Mistakes R Beginners Make,,Individual
2019-10-20,Awesome!,Fundamentals of R For Beginners,4,Business
2019-09-04,The author's other books were better,R For Dummies,2,Business
2019-11-28,Awesome!,R For Dummies,3,Individual
2019-08-25,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-02-21,Would not recommend,Secrets Of R For Advanced Students,5,Business
2019-08-12,The author's other books were better,R vs Python: An Essay,,Individual
2019-03-14,OK,Fundamentals of R For Beginners,6,Business
2019-12-29,Hated it,R For Dummies,6,Business
2019-06-09,Would not recommend,R For Dummies,5,Business
2019-12-26,Never read a better book,R For Dummies,,Business
2019-06-17,it was okay,R vs Python: An Essay,3,Business
2019-07-29,NA,Fundamentals of R For Beginners,2,Individual
2019-06-29,A lot of material was not needed,R For Dummies,6,Business
2019-05-21,NA,R vs Python: An Essay,1,Individual
2019-02-19,NA,Fundamentals of R For Beginners,5,Business
2019-11-05,The author's other books were better,R For Dummies,9,Business
2019-03-18,NA,Fundamentals of R For Beginners,1,Individual
2019-04-08,Never read a better book,R For Dummies,,Business
2019-10-28,OK,Secrets Of R For Advanced Students,4,Business
2019-04-10,it was okay,R For Dummies,,Business
2019-02-20,I learned a lot,R vs Python: An Essay,5,Business
2019-08-16,it was okay,Fundamentals of R For Beginners,3,Individual
2019-02-11,Hated it,Fundamentals of R For Beginners,5,Business
2019-09-30,Never read a better book,Secrets Of R For Advanced Students,5,Business
2019-12-16,Never read a better book,Fundamentals of R For Beginners,,Individual
2019-11-11,it was okay,Secrets Of R For Advanced Students,3,Business
2019-12-26,NA,R vs Python: An Essay,6,Business
2019-05-17,I learned a lot,R For Dummies,4,Individual
2019-11-24,OK,Secrets Of R For Advanced Students,,Business
2019-03-13,NA,R For Dummies,4,Individual
2019-11-13,it was okay,R Made Easy,4,Individual
2019-03-26,Would not recommend,R For Dummies,4,Business
2019-08-25,I learned a lot,R For Dummies,6,Individual
2019-06-02,NA,R vs Python: An Essay,5,Business
2019-03-26,OK,Secrets Of R For Advanced Students,3,Individual
2019-02-21,The author's other books were better,Fundamentals of R For Beginners,3,Individual
2019-05-26,Hated it,Fundamentals of R For Beginners,1,Business
2019-01-05,The author's other books were better,Top 10 Mistakes R Beginners Make,,Business
2019-02-15,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-09-07,The author's other books were better,Fundamentals of R For Beginners,6,Business
2019-09-22,OK,R vs Python: An Essay,9,Business
2019-07-06,I learned a lot,Fundamentals of R For Beginners,,Business
2019-01-20,Never read a better book,Secrets Of R For Advanced Students,5,Business
2019-11-04,NA,R For Dummies,7,Individual
2019-09-27,,R vs Python: An Essay,0,Individual
2019-06-11,it was okay,Fundamentals of R For Beginners,,Individual
2019-05-02,Hated it,Fundamentals of R For Beginners,9,Business
2019-07-03,OK,R For Dummies,4,Individual
2019-11-09,it was okay,Secrets Of R For Advanced Students,1,Business
2019-05-27,Never read a better book,Fundamentals of R For Beginners,,Individual
2019-08-18,it was okay,R vs Python: An Essay,4,Business
2019-04-09,I learned a lot,Fundamentals of R For Beginners,4,Individual
2019-07-25,Would not recommend,Fundamentals of R For Beginners,5,Business
2019-04-23,OK,R vs Python: An Essay,3,Individual
2019-10-25,,R For Dummies,3,Business
2019-11-27,,Fundamentals of R For Beginners,5,Business
2019-12-23,it was okay,Fundamentals of R For Beginners,6,Business
2019-10-09,it was okay,Fundamentals of R For Beginners,2,Business
2019-05-13,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-11-03,OK,R For Dummies,3,Individual
2019-05-19,Never read a better book,Fundamentals of R For Beginners,3,Individual
2019-10-22,Hated it,Fundamentals of R For Beginners,,Business
2019-10-23,NA,R For Dummies,3,Business
2019-08-20,Hated it,Fundamentals of R For Beginners,3,Business
2019-06-16,Never read a better book,R vs Python: An Essay,4,Individual
2019-06-07,Awesome!,R vs Python: An Essay,,Business
2019-03-31,Never read a better book,Fundamentals of R For Beginners,11,Business
2019-03-24,Awesome!,R vs Python: An Essay,2,Business
2019-10-28,it was okay,Fundamentals of R For Beginners,2,Business
2019-12-28,I learned a lot,Fundamentals of R For Beginners,0,Business
2019-10-26,Hated it,Fundamentals of R For Beginners,3,Business
2019-12-09,A lot of material was not needed,Fundamentals of R For Beginners,,Individual
2019-03-03,Awesome!,Secrets Of R For Advanced Students,2,Business
2019-09-27,I learned a lot,R For Dummies,1,Individual
2019-01-02,Awesome!,Fundamentals of R For Beginners,5,Business
2019-01-27,Never read a better book,R vs Python: An Essay,0,Individual
2019-03-08,Would not recommend,Secrets Of R For Advanced Students,7,Individual
2019-10-04,The author's other books were better,R For Dummies,2,Business
2019-03-09,Hated it,Secrets Of R For Advanced Students,0,Individual
2019-04-07,I learned a lot,Fundamentals of R For Beginners,,Individual
2019-01-04,,Fundamentals of R For Beginners,2,Business
2019-11-11,A lot of material was not needed,Secrets Of R For Advanced Students,7,Business
2019-02-12,NA,R For Dummies,7,Business
2019-09-14,,Secrets Of R For Advanced Students,4,Business
2019-03-19,it was okay,R For Dummies,4,Business
2019-05-25,it was okay,Secrets Of R For Advanced Students,4,Business
2019-11-28,A lot of material was not needed,R vs Python: An Essay,6,Business
2019-06-09,Awesome!,Secrets Of R For Advanced Students,5,Business
2019-03-11,Would not recommend,Fundamentals of R For Beginners,5,Business
2019-09-03,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-10-16,OK,R vs Python: An Essay,5,Individual
2019-09-22,it was okay,R For Dummies,4,Business
2019-04-26,NA,R vs Python: An Essay,3,Individual
2019-06-07,Would not recommend,Fundamentals of R For Beginners,,Individual
2019-03-24,OK,Fundamentals of R For Beginners,5,Business
2019-04-30,Hated it,Fundamentals of R For Beginners,7,Business
2019-08-19,OK,Fundamentals of R For Beginners,,Business
2019-12-21,,Fundamentals of R For Beginners,3,Business
2019-01-03,NA,Secrets Of R For Advanced Students,,Individual
